wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_rv_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;2024-10-31;a75773cc0xy5773cc001z;SYS;1042;7359.18;2020-02-26;2011-07-15;2010-11-02;2010-11-25;7400.0;TOTAL;EUR;4139.95;2020-02-26;;;0.0;2025-05-15 07:27:58.931103;2025-05-15 07:27:58.931103;INVALID
XY;50;2025-04-30;aa1c52c89xy1c52c8969z;SYS;2287;12.87;2010-05-18;2010-05-18;;;0.0;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
XY;50;2024-10-31;ab7fc7c89xy7fc7c8914z;SYS;708;1101.87;2016-11-14;2015-06-10;;2015-11-09;60398.0;;EUR;62331.13;2016-11-14;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a6b7c13b5xyb7c13b596z;SYS;708;2239.96;2018-05-31;2018-04-04;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;ac470eb45xy470eb45e5z;SYS;708;7252.43;2016-02-29;2016-02-01;2015-12-01;2016-02-01;12502.0;;EUR;12502.0;2016-02-01;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;aac495f7dxyc495f7da6z;SYS;708;-300.0;2016-10-19;2016-01-07;;;;;EUR;-17200.0;2016-10-19;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;aa231391bxy231391b49z;SYS;708;3048.56;2013-11-30;2013-11-01;2013-09-01;2013-11-08;11455.0;;EUR;11455.0;2013-11-08;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a03b30760xy3b307601az;SYS;708;29.21;2016-12-05;2016-12-05;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;ac181d2cdxy181d2cd7ez;SYS;709;2115.28;2018-02-23;2018-01-11;2018-01-11;2018-02-23;19250.0;;EUR;19250.0;2018-02-23;0.0;;0.0;2025-04-23 12:59:44.166421;2025-04-23 12:59:44.166421;INVALID
XY;50;2025-04-30;a7a36f3b8xya36f3b8dfz;SYS;2287;15180.18;2009-04-29;2009-04-29;2008-11-13;2009-03-05;43636.36;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
