wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_rv_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;wos_drv_alm_flag;wos_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a8393a1f9xy393a1f9dcz;SYS;708;;2023-01-31;2021-09-09;2021-09-08;;;;EUR;;;59612.35;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a21801db6xy1801db68dz;SYS;3279;0.0;2019-10-22;2019-10-22;;2019-10-04;31250.0;;EUR;0.0;;900.0;;0.0;N;N;2025-04-23 13:47:00.001639;2025-04-23 13:47:00.001639
XY;50;2025-04-30;adc5ea79dxyc5ea79d02z;SYS;2287;;2020-07-27;2020-07-27;;;0.0;TOTAL;EUR;0.0;;50.0;;0.0;N;N;2025-05-15 08:36:24.621918;2025-05-15 08:36:24.621918
XY;50;2024-10-31;a3b9d4a71xyb9d4a718bz;SYS;708;;2008-11-13;2008-10-15;;2008-11-13;41298.0;;EUR;41298.0;2008-11-13;5939.36;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a7fe8b4bcxyfe8b4bc87z;SYS;708;;2024-07-18;2023-11-02;;;;;EUR;2.15;2024-05-19;654.57;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;afaf4a76dxyaf4a76db5z;SYS;708;;2016-05-12;2016-03-07;;2016-03-07;31505.0;;EUR;31505.0;2016-05-12;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a85d3d6c3xy5d3d6c3c2z;SYS;708;;2017-02-23;2016-06-17;;;;;EUR;98.05;2017-02-23;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a949675b1xy49675b1e4z;SYS;708;;2023-07-28;2023-07-28;2023-07-28;2023-10-16;24283.16;;EUR;27033.16;2023-10-16;13576.53;;-205.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2025-04-30;a4d65d157xyd65d15778z;SYS;2287;;2015-09-02;2015-09-02;;;0.0;TOTAL;EUR;0.0;;29.34;;0.0;N;N;2025-05-15 08:36:24.621918;2025-05-15 08:36:24.621918
XY;50;2024-10-31;a0f366be9xyf366be944z;SYS;708;;2017-09-26;2017-07-31;;;;;EUR;;;0.01;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
