cfs_analysis_entity;cfs_delivering_entity;cfs_reporting_date;cfs_cms_contract_number;cfs_source_system;cfs_cashflow_type;cfs_payment_date;cfs_cashflow;cfs_drv_alm_flag;cfs_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a1ed66c1axyed66c1a4ez;SYS;Installment;2026-04-12;1179.11;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a1a316159xya316159f8z;SYS;Installment;2026-02-24;524.14;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aa8187555xy81875555cz;SYS;Installment;2024-06-01;628.95;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;afb188383xyb1883838dz;SYS;Installment;2027-09-18;898.15;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aedbdbaf4xydbdbaf426z;SYS;Installment;2026-06-18;878.07;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a007f3a4fxy07f3a4fc5z;SYS;Installment;2026-09-04;896.78;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a8b867c92xyb867c9273z;SYS;Installment;2026-07-07;928.38;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a18db8c17xy8db8c1703z;SYS;Redemption;2021-07-01;879.02;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;a20aaf9b0xy0aaf9b0f9z;SYS;Installment;2026-10-09;599.37;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a50a0e59cxy0a0e59cbcz;SYS;Installment;2024-07-27;526.03;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aace6c63exyce6c63edfz;SYS;Installment;2020-12-11;534.75;N;N;2025-04-30 08:18:12.840315;2025-04-30 08:18:12.840315
XY;50;2024-10-31;ae8cd06c3xy8cd06c301z;SYS;Redemption;2026-11-01;1124.77;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;aea49142fxya49142f0dz;SYS;Installment;2023-10-01;708.2;N;N;2025-04-30 08:18:12.840315;2025-04-30 08:18:12.840315
XY;50;2024-10-31;ad7edf6d9xy7edf6d9acz;SYS;Redemption;2022-02-10;173.28;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;a567b02d9xy67b02d971z;SYS;Installment;2025-03-29;5191.27;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2025-04-30;a8f9c16bexyf9c16be42z;SYS;Installment;2023-05-14;1100.67;N;N;2025-05-15 08:36:29.553706;2025-05-15 08:36:29.553706
XY;50;2024-10-31;ac39e5e90xy39e5e90b7z;SYS;Installment;2021-09-14;446.89;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a2c4e21edxyc4e21ed4fz;SYS;Installment;2027-08-03;2278.29;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;afe0fc8d9xye0fc8d998z;SYS;Installment;2026-10-07;1433.05;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a7cb2b1a4xycb2b1a42bz;SYS;Installment;2023-09-26;1336.53;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a11b6e88exy1b6e88e5cz;SYS;Installment;2024-06-28;2286.25;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aad5657e9xyd5657e97az;SYS;Installment;2029-11-07;521.16;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ad1fa6590xy1fa659070z;SYS;Installment;2023-10-29;0.0;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;af97231abxy97231ab31z;SYS;Installment;2022-01-19;533.28;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a96f1ae4cxy6f1ae4c14z;SYS;Installment;2028-01-22;1232.75;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
