wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_rv_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;wos_drv_alm_flag;wos_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a0429a83axy429a83accz;SYS;708;;2019-03-17;2018-11-21;2018-11-20;2019-03-15;51175.0;;EUR;51397.13;2019-03-17;12509.93;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-09-30;a3aff9ff1xyaff9ff1c5z;SYS;3250;;2021-09-30;2021-09-30;;;0.0;EARLY_SETTLEMENT;EUR;0.0;;117940.0;;117940.0;N;N;2025-05-14 12:09:26.976003;2025-05-14 12:09:26.976003
XY;50;2024-10-31;ab616ae26xy616ae2665z;SYS;708;;2016-10-06;2016-05-12;;;;;EUR;645.0;2016-10-06;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;aebf4bb1cxybf4bb1c4dz;SYS;708;;2022-05-23;2019-11-20;;;;;EUR;;;1319.7;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a7a6e2e53xya6e2e5349z;SYS;709;0.0;2016-12-16;2016-12-16;;;;;EUR;0.0;;9.58;;0.0;N;N;2025-04-23 13:47:00.001639;2025-04-23 13:47:00.001639
XY;50;2024-10-31;a3a1656d1xya1656d116z;SYS;708;;2017-03-05;2015-10-31;;2015-11-17;24837.0;;EUR;25351.37;2017-03-05;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a6774a99bxy774a99b45z;SYS;708;;2023-10-31;2023-10-27;2023-10-19;2023-10-31;7070.12;;EUR;10389.96;2023-10-31;3.24;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;afd0c243axyd0c243aa6z;SYS;3279;0.0;2023-11-17;2023-11-17;;;;;EUR;0.0;;0.05;;0.0;N;N;2025-04-23 13:47:00.001639;2025-04-23 13:47:00.001639
XY;50;2024-10-31;a8711710dxy711710d92z;SYS;708;;2014-07-21;2013-11-25;2013-09-27;2013-11-25;18400.4;;EUR;18416.45;2014-07-21;27202.05;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a6272fecfxy272fecf8dz;SYS;708;;2023-08-22;2023-08-22;;;;;EUR;;;50.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ae54c9562xy54c956226z;SYS;708;;2022-06-20;2018-02-14;;;;;EUR;913.99;2022-06-20;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2025-04-30;a0d666f1fxyd666f1f52z;SYS;2287;;2010-08-16;2010-08-16;;;0.0;TOTAL;EUR;0.0;;0.07;;0.0;N;N;2025-05-15 08:36:24.621918;2025-05-15 08:36:24.621918
XY;50;2025-04-30;aedd48b79xydd48b79d6z;SYS;2287;;2010-07-19;2010-07-19;2010-05-24;2010-07-17;104545.45;TOTAL;EUR;0.0;;19420.52;;0.0;N;N;2025-05-15 08:36:24.621918;2025-05-15 08:36:24.621918
