wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_rv_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;2024-10-31;a94216a8exy4216a8e9bz;SYS;708;7525.25;2015-11-30;2013-05-16;2013-05-16;2013-08-09;25400.0;;EUR;30800.0;2015-11-30;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a2ddc0f48xyddc0f4890z;SYS;709;0.05;2016-06-23;2016-06-23;;;;;EUR;0.0;;0.0;;0.0;2025-04-23 12:59:44.166421;2025-04-23 12:59:44.166421;INVALID
XY;50;2024-10-31;a14e997fbxy4e997fb0cz;SYS;709;0.2;2016-05-31;2016-05-31;;;;;EUR;0.0;;0.0;;0.0;2025-04-23 12:59:44.166421;2025-04-23 12:59:44.166421;INVALID
XY;50;2024-10-31;a48df181bxy8df181b4ez;SYS;1042;369.03;2011-05-11;2011-05-11;;;;TOTAL;EUR;;;;;0.0;2025-05-15 07:27:58.931103;2025-05-15 07:27:58.931103;INVALID
XY;50;2024-10-31;ad9ebab88xy9ebab8861z;SYS;708;0.0;2016-05-07;2016-04-22;2016-04-22;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a8abf818dxyabf818dc5z;SYS;708;0.0;2021-01-13;2020-11-19;;;;;EUR;2233.05;2021-01-13;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a7567b0c5xy567b0c58bz;SYS;708;11228.54;2007-11-30;2007-08-21;2007-08-21;2007-11-27;14320.0;;EUR;14320.0;2007-11-27;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a2bc96012xybc9601258z;SYS;708;33676.23;2015-08-31;2014-04-01;2014-04-01;;;;EUR;16000.0;2015-08-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a3a3fccd6xya3fccd6f1z;SYS;1042;10199.4;2012-11-20;2012-11-20;2010-06-04;2010-06-29;10600.0;TOTAL;EUR;;;;;0.0;2025-05-15 07:27:58.931103;2025-05-15 07:27:58.931103;INVALID
XY;50;2024-10-31;a1099a1cbxy099a1cb81z;SYS;708;0.71;2016-06-19;2016-06-17;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
