cfs_analysis_entity;cfs_delivering_entity;cfs_reporting_date;cfs_cms_contract_number;cfs_source_system;cfs_cashflow_type;cfs_payment_date;cfs_cashflow;cfs_drv_alm_flag;cfs_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a2c5d4c0cxyc5d4c0c50z;SYS;Installment;2025-03-02;1261.14;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;a79d71911xy9d7191132z;SYS;Installment;2022-09-09;782.44;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;adbfa097axybfa097ab3z;SYS;Installment;2020-10-28;1101.58;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ae8ce2de7xy8ce2de722z;SYS;Installment;2025-05-24;2231.36;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;aa3506f71xy3506f7140z;SYS;Installment;2026-03-01;1382.71;N;N;2025-04-30 08:18:12.840315;2025-04-30 08:18:12.840315
XY;50;2024-10-31;afda1b75axyda1b75aa8z;SYS;Installment;2025-10-22;1154.31;N;N;2025-04-23 13:46:55.538237;2025-04-23 13:46:55.538237
XY;50;2024-10-31;a16951c27xy6951c27c2z;SYS;Installment;2025-04-12;640.87;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ae886c112xy886c11241z;SYS;Installment;2026-02-25;1243.81;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-09-30;abd499d6fxyd499d6fd5z;SYS;Installment;2024-12-18;104838.0;N;N;2025-05-14 12:09:32.701067;2025-05-14 12:09:32.701067
XY;50;2024-10-31;a17bf690exy7bf690ee3z;SYS;Installment;2026-02-15;687.84;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-09-30;aaf38b0c7xyf38b0c7cbz;SYS;Installment;2027-09-04;102323.0;N;N;2025-05-14 12:09:32.701067;2025-05-14 12:09:32.701067
XY;50;2024-10-31;a90699d17xy0699d1723z;SYS;Installment;2026-02-24;899.8;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a7dedbaa9xydedbaa90dz;SYS;Installment;2026-08-02;540.0;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
