cfs_analysis_entity;cfs_delivering_entity;cfs_reporting_date;cfs_cms_contract_number;cfs_source_system;cfs_cashflow_type;cfs_payment_date;cfs_cashflow;cfs_drv_alm_flag;cfs_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a52f10abbxy2f10abb0az;SYS;Interest;2023-07-01;235.63;N;N;2025-05-15 09:01:14.513012;2025-05-15 09:01:14.513012
XY;50;2024-10-31;a263f5868xy63f58681fz;SYS;Installment;2025-07-20;1190.21;N;N;2025-04-30 08:18:12.840315;2025-04-30 08:18:12.840315
XY;50;2024-10-31;abfb1080fxyfb1080fb3z;SYS;Installment;2026-04-17;1046.32;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a503f8840xy03f88405ez;SYS;Installment;2021-11-27;574.4;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a90327c0exy0327c0e57z;SYS;Installment;2026-01-25;688.74;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a7fd9b1ccxyfd9b1cc07z;SYS;Installment;2024-11-23;770.77;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;aee824147xye824147d4z;SYS;Installment;2026-02-17;408.14;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;af5aba926xy5aba92673z;SYS;Installment;2023-02-17;418.41;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a664fd7a6xy64fd7a6daz;SYS;Installment;2029-01-30;4965.01;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a1c3248b9xyc3248b9edz;SYS;Installment;2021-08-27;1373.45;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;afed6f0f5xyed6f0f524z;SYS;Installment;2025-01-25;622.66;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a1902dd9exy902dd9ed4z;SYS;Installment;2028-09-24;860.9;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;ae628d203xy628d203d6z;SYS;Installment;2026-07-07;1165.91;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
XY;50;2024-10-31;a2e65bd73xye65bd737fz;SYS;Installment;2025-10-02;1257.83;N;N;2025-04-24 17:16:46.050179;2025-04-24 17:16:46.050179
