ctt_analysis_entity;ctt_delivering_entity;ctt_funding_entity;ctt_reporting_date;ctt_cms_contract_number;ctt_source_system;ctt_bevis_id;ctt_status;ctt_start_date;ctt_end_date;ctt_contract_currency;ctt_trade_date;ctt_acquisition_date;ctt_nbv_local_cms;ctt_restructuring_flag;ctt_sales_price;ctt_down_payment;ctt_balloon_rv;ctt_additional_financed_amount;ctt_commission;ctt_fee;ctt_idc;ctt_subsidy;ctt_subsidy_percent;ctt_security_deposit;ctt_deposit_rate;ctt_period_in_month;ctt_fix_variable;ctt_variable_type;ctt_payment_mode;ctt_cmsir;ctt_day_conv;ctt_fixing_period;ctt_last_fixing;ctt_next_fixing;ctt_installment;ctt_installment_count;ctt_delinquent_amount;ctt_delinquent_amount_ccy;ctt_delinquent_days_contract;ctt_cal_delinquency_bucket_name;ctt_pd;ctt_lgd;ctt_triggering_event_flag;ctt_continuation_deal;ctt_date_of_last_restructuring;ctt_number_restructurings;ctt_opex;ctt_nib_ratio;ctt_co_r_v_r;ctt_reserves_segment_contract;ctt_economic_capital_ratio;ctt_portfolio_cr;ctt_portfolio_pp;ctt_portfolio;ctt_written_off_flag;ctt_additional_collateral_type;ctt_additional_collateral_amount;ctt_insurance_ancillary;ctt_insurance_gap;ctt_insurance_motor;ctt_insurance_ppi;ctt_insurance_warranty;ctt_tax_rate;ctt_financial_product_group;ctt_rv_guarantee_flag;ctt_product_sap;ctt_abs_code;ctt_asset_type_segment;ctt_brand;ctt_new_used;ctt_units;ctt_model_sap;ctt_additional_asset_information;ctt_asset_model_date;ctt_list_price;ctt_vin;ctt_vin_type;ctt_borrower_type;ctt_borrower_sub_type;ctt_customer_number;ctt_customer_group_number;ctt_borrower_country;ctt_industry_segmentation;ctt_rating;ctt_rating_name;ctt_rating_version;ctt_scoring;ctt_r_model_score_card;ctt_r_model_score_card_version;ctt_dealer;ctt_branch;ctt_campaign;ctt_fda_1;ctt_fda_2;ctt_hostile_termination_flag;ctt_loan_commitment_flag;ctt_ifrs9_classification;ctt_credit_impaired;ctt_loan_limit;ctt_impaired_information;ctt_business_division;ctt_business_line;ctt_rating_scoring_flag;ctt_portfolio_tm1;ctt_icrsa_flag;ctt_delinquency_reason_code;ctt_ifrs9_country_region;ctt_cal_baumuster;ctt_cal_engine_style_text;ctt_cal_product_txt;ctt_cal_class_txt;ctt_cal_typclass_text;ctt_cal_product_comment;ctt_cal_product_bmst;ctt_cal_taxonomy_aligned;ctt_drv_portfolio_type_tm1;ctt_drv_portfolio_type_rdr;ctt_drv_portfolio_name_tm1;ctt_drv_portfolio_name_rdr;ctt_cal_acquisition_period;ctt_cal_max_cashflow_date;ctt_cal_contract_status_name;ctt_cal_financed_amount;ctt_cal_upfront_payments;ctt_cal_curr_rating_scoring_value;ctt_cal_curr_rating_scoring_scaled;ctt_cal_net_pay_out_amount;ctt_cal_interest_type;ctt_cal_contract_trade_date;ctt_cal_curr_rating_scoring_id;ctt_cal_delinquent_amount;ctt_cal_cms_gross_exposure;ctt_cal_contract_age;ctt_cal_vehicle_age;ctt_cal_technical_amortization;ctt_cal_contract_term;ctt_cal_amg_maybach_classification;ctt_cal_luxury_segment;ctt_cal_ifrs9_relevant;ctt_cal_initial_rating_scoring_scaled;ctt_cal_residual_term_in_months;ctt_cal_contract_term_bucket;ctt_cal_initial_rating_scoring_value;ctt_cal_initial_rating_scoring_id;ctt_cal_initial_rating_scoring_class;ctt_cal_contract_last_fixing;ctt_cal_contract_next_fixing;ctt_cal_product_group_alm;ctt_cal_curr_rating_scoring_class;ctt_cal_downpayment_ratio;ctt_cal_gross_exposure;ctt_balance_sheet_entity;ctt_cal_nbv;ctt_cal_effective_payment_frequency;ctt_cal_nominal_deal_irr;ctt_cal_effective_deal_irr;ctt_cal_nominal_upfront_margin;ctt_cal_upfront_margin_sensitivity;ctt_cal_delinquent_days_contract;ctt_cal_delinquent_days;ctt_cal_default_indicator;ctt_cal_date_of_default;ctt_cal_time_since_default;ctt_cal_default_status;ctt_cal_impairment_indicator;ctt_position_id;ctt_cal_product_group_reporting;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;XY1001;2024-10-31;ac9769487xy976948703z;SYS;708;0;2023-12-12;2025-12-11;EUR;;2023-12-18;18332.75;N;70334.44;40000.0;0.0;0.0;503.34;0.0;0.0;0.0;;0.0;;1.0;F;;R;7.59;Act/Act;;;;1365.99;24.0;0.0;EUR;0.0;Current;0.00985;0.338;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;PC;MB;N;1;;;;66540.0;a89402930xy9402930a6z;VIN;RP;NON;a7b48a925xyb48a925c9z;a7b48a925xyb48a925c9z;XY;;;;;1.0;;;a5da0a295xyda0a2958bz;;;;;N;N;Loan retail;;;;Other;;;;;;;49933d;Benzin;GLC 300 4M Cou;GLC;C254;GLC 300 4MATIC Coupé;254347;F;TM1;RDR;XYORGF;XYORGF;2023-12-31;2025-12-11;Active;30334.44;-503.34;1.0;;30837.78;F;2023-12-12;X;0.0;18332.75;11;11;23.96666;24;Other;Core Luxury;Y;;13;13 - 24;1.0;X;;;;PF_F;;0.56871;18430.33151;XY10;18430.331514673773;12.024199761820743;0.05961822587107173;0.06127491114906247;-0.016282743473757945;0.9931152462519417;0;0;N;;0;No-Default;N;a7b48a925xyb48a925c9z::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a4db9fb9fxydb9fb9fcdz;SYS;708;0;2023-12-16;2028-12-30;EUR;;2024-01-02;53400.84;N;67078.75;5000.0;0.0;0.0;300.0;0.0;0.0;0.0;;0.0;;1.0;F;;R;7.34;Act/Act;;;;1242.75;60.0;0.0;EUR;0.0;Current;0.00162;0.338;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;VA;MB;N;1;;;;64322.0;affbb602exyfbb602edfz;VIN;RSB;NON;a1f6c2a7fxyf6c2a7fe2z;a1f6c2a7fxyf6c2a7fe2z;XY;;;;;0.0;;;aaea4c337xyea4c337e0z;;;;;N;N;Loan retail;;;;Other;;;;;;;bd3c75;Diesel;416 KA 4X2 4325;Sprinter/NCV3/VS30;VS30 VAN CHS MB;VS30 RWD - KaWa;907645;F;TM1;RDR;XYORGF;XYORGF;2024-01-31;2028-12-30;Active;62078.75;-300.0;0.0;;62378.75;F;2023-12-16;X;0.0;53400.84;11;11;60.43333;60;Other;Vans;Y;;50;49 - 60;0.0;X;;;;PF_F;;0.07454;53605.92829;XY10;53605.92829409543;11.943182986682727;0.0714030817272978;0.07378147342664876;-0.0019968965962226803;0.41671980845888884;0;0;N;;0;No-Default;N;a1f6c2a7fxyf6c2a7fe2z::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;ad01813b0xy01813b03dz;SYS;708;0;2022-09-10;2028-09-10;EUR;;2022-09-19;51256.31;N;78511.59;7500.0;0.0;995.0;5007.37;0.0;0.0;0.0;;0.0;;1.0;F;;R;8.49;Act/Act;;;;1279.8;72.0;0.0;EUR;0.0;Current;0.01074;0.345;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;VA;MB;N;1;;;;60554.0;ac62f40afxy62f40af07z;VIN;RSB;NON;a063d1f4dxy63d1f4dedz;a063d1f4dxy63d1f4dedz;XY;;;;;1.0;;;aa3c5ba5fxy3c5ba5fbcz;;;;;N;N;Loan retail;;;;Other;;;;;;;ec0e80;Diesel;419 KA 4X2 4325;Sprinter/NCV3/VS30;VS30 VAN CHS MB;VS30 RWD - KaWa;907647;F;TM1;RDR;XYORGF;XYORGF;2022-09-30;2028-09-10;Active;72006.59;-5007.37;1.0;;77013.95999999999;F;2022-09-10;X;0.0;51256.31;26;26;72.00000;72;Other;Vans;Y;;46;61 - 72;1.0;X;;;;PF_F;;0.09553;53385.18072;XY10;53385.1807224681;12.006914031078374;0.060941501096980315;0.06267277594933628;-0.023958379394975853;0.3540780686893098;0;0;N;;0;No-Default;N;a063d1f4dxy63d1f4dedz::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;ae8ca581dxy8ca581d7cz;SYS;708;0;2020-12-20;2024-12-20;EUR;;2021-01-02;20701.26;N;38545.0;3212.64;20062.1;300.0;3089.42;795.0;0.0;2384.91;;0.0;;1.0;F;;R;4.59;30/360;;;;449.4;48.0;0.0;EUR;0.0;Current;0.01723;0.30072;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;L7F;PC;MB;U;1;;;;;a8e7edd99xye7edd996fz;VIN;RP;NON;a8840cecfxy840cecf76z;a8840cecfxy840cecf76z;XY;;;;;1.0;;;aaf0922a3xyf0922a336z;;;;;N;N;Operating lease;;;;Other;;;;;;;7613d7;Benzin;C 300;C-Klasse;W205;C 300;205083;F;TM1;RDR;XYORGF;XYORGF;2021-01-31;2024-12-20;Active;35632.36;90.48999999999978;1.0;;35092.47;F;2020-12-20;X;0.0;20701.26;46;76;100.10000;48;Other;Core Luxury;Y;;2;37 - 48;1.0;X;;;;PF_F;;0.08335;20716.89994;XY10;20716.89994334866;12.077663671373557;0.054476439483621554;0.05585595351427293;0.0008921521806367905;0.34868608559754305;0;0;N;;0;No-Default;N;a8840cecfxy840cecf76z::SYS_XY1000;OPLEA;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a095ae724xy95ae72448z;SYS;1042;0;2021-04-14;2025-04-30;EUR;;2021-04-14;13596.01;N;25044.17;7500.0;13182.92;0.0;0.0;0.0;0.0;750.0;;0.0;0.0;1.0;V;1;;6.591;30/360;3.0;2024-08-31;2024-11-30;;;0.0;EUR;0.0;Current;;;0;;;;;;;;;;;;;;;;;;;;;BFLEA;N;;;PC;MB;N;1;;;2021-04-06;31794.5;a83ac76cfxy3ac76cf45z;VIN;RP;NON;a691c1feexy91c1fee9bz;a691c1feexy91c1fee9bz;XY;;;;;;;;a9bacc67bxybacc67b0fz;;Mercedes-Benz Bank Bonus 2021-01Q12;;;N;;Finance lease;;;;;;;;;;;53abb5;Benzin;A 180;A-Klasse;W177;A 180 Kompaktlimousine;177084;F;TM1;RDR;XYORGF;XYORGF;2021-04-30;2025-04-30;Active;17544.17;750.0;;;16794.17;V1;2021-04-14;X;0.0;13596.01;43;43;102.43333;49;Other;Entry Luxury;Y;;6;49 - 60;;X;;2024-08-31;2024-11-30;PF_V_RF;;0.29947;13674.33474;XY10;13674.334735606131;12.195719667177215;0.07789336680739041;0.0807411532920357;0.012344963780006738;0.28483286802135493;0;0;N;;0;No-Default;N;a691c1feexy91c1fee9bz::SYS_XY1000;BFLEA;2025-05-15 07:27:53.805558;2025-05-15 07:27:53.805558;INVALID
XY;50;XY1001;2024-10-31;a66182e6fxy6182e6feez;SYS;708;0;2021-05-28;2027-05-27;EUR;;2021-06-02;32326.17;N;72611.0;15000.0;0.0;10556.6;1604.74;0.0;59.0;175.49;;0.0;;1.0;F;;R;5.9;Act/Act;;;;1126.5;72.0;0.0;EUR;0.0;Current;0.0062;0.344;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;VA;MB;N;1;;;;72611.0;a2bffb127xybffb127eaz;VIN;RSB;NON;a8ee92ddbxyee92ddb0cz;a0b9fff57xyb9fff5745z;XY;;;;;;;;ac0d43294xy0d4329408z;;;;;N;N;Loan retail;;;;Other;;;;;;;265e5b;Diesel;419 KB 4X2 4325;Sprinter/NCV3/VS30;VS30 VAN CHS MB;VS30 RWD - Kombi;907745;F;TM1;RDR;XYORGF;XYORGF;2021-06-30;2027-05-27;Active;68167.6;-1488.25;;;69655.85;F;2021-05-28;X;0.0;32326.17;41;41;71.96666;72;Other;Vans;Y;;31;61 - 72;;X;;;;PF_F;;0.20658;32635.85219;XY10;32635.852187261356;12.014819210860631;0.05145730041838256;0.05268834453009883;-0.00754274510563787;0.3502134605316252;0;0;N;;0;No-Default;N;a8ee92ddbxyee92ddb0cz::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a3ca60ed4xyca60ed484z;SYS;3279;0;2023-08-25;2027-05-25;EUR;;2023-09-01;47108.4;N;60125.76;12630.85;26014.5;0.0;474.95;0.0;0.0;3767.08;0.0;700.0;0.0;1.0;F;1;A;0.03;30/360;0.0;2023-08-25;2027-05-25;0.0;0.0;0.0;EUR;0.0;Current;0.00368;0.21;0;N;;0.0;;;;;;;;;;;;;;;;;;OPLEA;B;3105;ABS;PC;MB;N;1;;;;55350.0;ae223cbf0xy223cbf05ez;VIN;RP;NON;ac4af5b5axy4af5b5a00z;ac4af5b5axy4af5b5a00z;XY;;0.0;;;313.0;ACE;;aa5f36977xy5f3697756z;910;E51;;;N;N;Operating lease;N;0.0;;Other;;;;;;;4392c5;Benzin;GLA 250 4M;GLA;H247;GLA 250 4MATIC City-SUC;247747;F;TM1;RDR;XYORGF;XYORGF;2023-09-30;2027-05-25;Active;47494.91;3292.13;313.0;;43603.54000000001;F;2023-08-25;X;0.0;47108.4;14;14;79.26667;45;Other;Entry Luxury;Y;;31;37 - 48;313.0;X;;;;PF_F;;0.21007;38423.0094;XY10;38423.009401077186;12.0;0.06670669101713371;0.06878444251959016;0.026807096633465345;0.3738096311958386;0;0;N;;0;No-Default;N;ac4af5b5axy4af5b5a00z::SYS_XY1000;OPLEA;2025-04-23 12:59:37.304075;2025-04-23 12:59:37.304075;INVALID
XY;50;XY1001;2024-10-31;a8b222c11xyb222c11daz;SYS;708;0;2024-09-27;2027-09-27;EUR;;2024-10-01;56344.66;N;54851.19;0.0;30010.5;2349.45;879.09;0.0;0.0;2366.54;;0.0;;1.0;F;;R;5.52;30/360;;;;954.99;36.0;0.0;EUR;0.0;Current;0.01413;0.29561;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;;PC;MB;N;1;;;;53915.0;af92fab28xy92fab2845z;VIN;RP;NON;a06788ab2xy6788ab2c6z;a06788ab2xy6788ab2c6z;XY;;;;;1.0;;;a9cacf342xycacf3420bz;;;;;N;N;Operating lease;;;;Other;;;;;;;255dce;Benzin;GLC 300 4M;GLC;X254;GLC 300 4MATIC;254647;F;TM1;RDR;XYORGF;XYORGF;2024-10-31;2027-09-27;Acquisition;57200.64;1487.4499999999998;1.0;;54758.200000000004;F;2024-09-27;X;0.0;56344.66;1;1;79.46666;36;Other;Core Luxury;Y;;35;25 - 36;1.0;X;;;;PF_F;;0.0;54122.35725;XY10;54122.357254624265;12.00967013613009;0.067683491837448;0.06982278797723483;0.01251294628396344;0.4713950044775553;0;0;N;;0;No-Default;N;a06788ab2xy6788ab2c6z::SYS_XY1000;OPLEA;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;a106706e1xy06706e1bbz;SYS;708;0;2023-01-17;2029-02-01;EUR;;2023-01-25;59925.05;N;75553.0;0.0;0.0;1200.0;4342.72;0.0;0.0;0.0;;0.0;;1.0;F;;R;12.19;Act/Act;;;;1515.79;72.0;0.0;EUR;0.0;Current;0.02424;0.338;0;;;;;;;;;;;;;;;;;;;;;STFIN;N;;;VA;MB;N;1;;;;47052.0;ac35d2400xy35d240034z;VIN;RP;NON;a8eae58a2xyeae58a2f2z;a8eae58a2xyeae58a2f2z;XY;;;;;2.0;;;a71c2088cxy1c2088cafz;;;;;N;N;Loan retail;;;;Other;;;;;;;c596a7;Diesel;519 FHS 4X2 3665;Sprinter/NCV3/VS30;VS30 Chassis LUF MB;VS30 RWD - Fahrerhaus;907153;F;TM1;RDR;XYORGF;XYORGF;2023-01-31;2029-02-01;Active;76753.0;-4342.72;2.0;;81095.72;F;2023-01-17;X;0.0;59925.05;21;21;72.46667;72;Other;Vans;Y;;51;61 - 72;2.0;X;;;;PF_F;;0.0;63483.817;XY10;63483.81700310963;11.94543460891602;0.10166790193077908;0.10653272417027018;-0.020232245874856572;0.3659909342042675;0;0;N;;0;No-Default;N;a8eae58a2xyeae58a2f2z::SYS_XY1000;STFIN;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
XY;50;XY1001;2024-10-31;ae713a6caxy713a6ca59z;SYS;708;0;2021-05-26;2025-05-26;EUR;;2021-05-27;43158.0;N;74513.0;0.0;37952.95;0.0;666.83;0.0;0.0;0.0;;9500.0;;1.0;F;;R;2.17;30/360;;;;862.89;48.0;0.0;EUR;0.0;Current;0.00156;0.34692;0;;;;;;;;;;;;;;;;;;;;;OPLEA;B;;L7F;PC;MB;N;1;;;;75815.0;a4b1e0a6cxyb1e0a6cc9z;VIN;RP;NON;a320359a5xy20359a585z;a320359a5xy20359a585z;XY;;;;;0.0;;;a55eb8c10xy5eb8c1087z;;;;;N;N;Operating lease;;;;Other;;;;;;;61b1d1;Benzin;GLE 450 4M L;GLE;V167;GLE 450 4MATIC lang;167159;F;TM1;RDR;XYORGF;XYORGF;2021-05-31;2025-05-26;Active;74513.0;-666.83;0.0;;74316.94;F;2021-05-26;X;0.0;43158.0;41;41;97.80000;48;Other;Core Luxury;Y;;7;37 - 48;0.0;X;;;;PF_F;;0.0;42692.91555;XY10;42692.91554799257;12.0;0.018606626958243583;0.0187661279648421;-0.0030781338971374965;0.34327004009298173;0;0;N;;0;No-Default;N;a320359a5xy20359a585z::SYS_XY1000;OPLEA;2025-04-24 16:00:03.672142;2025-04-24 16:00:03.672142;INVALID
