wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_rv_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;2024-10-31;add768fd7xyd768fd7e9z;SYS;708;1028.9;2019-04-10;2018-01-31;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a4b408eb0xyb408eb0f9z;SYS;708;-75281.24;2014-05-31;2013-01-10;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;aaec9101axyec9101a76z;SYS;708;0.0;2019-01-09;2017-02-27;;;;;EUR;1356.12;2019-01-09;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a0e316d76xye316d7611z;SYS;708;0.0;2016-05-31;2016-03-31;2016-03-31;2016-05-04;47264.0;;EUR;49588.42;2016-05-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a012703ccxy12703cceaz;SYS;708;45994.89;2008-09-30;2008-06-04;2008-06-04;2008-09-23;74350.0;;EUR;74350.0;2008-09-23;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a18b89618xy8b896188fz;SYS;708;924.02;2014-05-31;2012-05-03;2012-05-03;2012-06-27;28600.0;;EUR;32825.13;2014-05-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a431b9aa3xy31b9aa3fcz;SYS;708;16634.27;2017-01-10;2009-08-01;2009-08-01;;;;EUR;17953.0;2017-01-03;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a5c3b4bc0xyc3b4bc054z;SYS;708;0.0;2019-06-11;2018-11-20;2018-12-03;;;;EUR;8770.78;2018-12-23;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;aaa1d9e6bxya1d9e6b9bz;SYS;708;5926.36;2017-01-05;2016-09-19;2016-09-01;2016-10-26;114400.0;;EUR;120547.98;2017-01-05;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2025-04-30;a092b8080xy92b8080f5z;SYS;2287;50.0;2012-12-12;2012-12-12;;;0.0;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
