wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_rv_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;2024-10-31;a593ac196xy93ac19685z;SYS;708;9643.69;2010-12-31;2010-10-21;2010-10-21;2010-12-15;23009.0;;EUR;23009.0;2010-12-15;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a80e27afcxy0e27afc72z;SYS;708;3752.07;2015-05-31;2015-03-01;2015-03-01;;;;EUR;4000.0;2015-05-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a14f95669xy4f956697az;SYS;708;27004.99;2016-06-27;2016-05-18;2016-05-18;2016-06-24;68185.0;;EUR;68185.0;2016-06-27;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;aacf12eeaxycf12eea31z;SYS;708;6.58;2017-06-27;2017-06-27;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a5b728753xyb728753c8z;SYS;709;13.82;2016-05-06;2016-05-06;;;;;EUR;0.0;;0.0;;0.0;2025-04-23 12:59:44.166421;2025-04-23 12:59:44.166421;INVALID
XY;50;2024-10-31;ac6d97e61xy6d97e61aez;SYS;708;25590.61;2012-08-31;2012-07-10;2012-07-10;2012-08-31;31955.32;;EUR;31955.32;2012-08-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a3f3eb8e7xyf3eb8e76az;SYS;708;0.0;2018-01-30;2017-08-08;;2018-01-22;20791.0;;EUR;20791.0;2018-01-30;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a14bea12fxy4bea12f35z;SYS;708;0.0;2016-04-01;2015-07-20;;2015-09-29;22858.0;;EUR;23657.75;2016-04-01;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a69fd7b4fxy9fd7b4fffz;SYS;708;0.03;2016-05-31;2016-05-31;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;ab2e288b6xy2e288b6d4z;SYS;708;16502.13;2016-12-29;2016-05-12;;2016-07-27;604242.0;;EUR;247592.0;2016-07-27;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
