wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_rv_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;MGT_InsertTime;MGT_UpdateTime;MGT_ValidationStatus
XY;50;2024-10-31;a8abf818dxyabf818dc5z;SYS;708;0.0;2021-01-13;2020-11-19;;;;;EUR;2233.05;2021-01-13;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a32271955xy22719558bz;SYS;708;10.88;2016-09-20;2016-09-20;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a9c43fda2xyc43fda284z;SYS;708;34026.26;2014-01-31;2013-09-01;2013-09-01;;;;EUR;74000.0;2014-01-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a0ad5d8d3xyad5d8d30az;SYS;708;10996.17;2007-10-31;2007-10-01;2007-09-01;2007-10-17;7815.0;;EUR;7815.0;2007-10-17;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a2c9844a2xyc9844a282z;SYS;708;631.85;2020-05-25;2020-05-22;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;ad2938d44xy2938d44d5z;SYS;708;18079.93;2018-08-16;2017-12-27;2018-01-29;2018-04-09;24108.0;;EUR;26708.0;2018-08-16;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a29b7f2e1xy9b7f2e18ez;SYS;708;35.69;2016-09-29;2016-09-29;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2025-04-30;a2822984cxy822984ce8z;SYS;2287;6233.07;2009-09-30;2009-01-28;2008-09-24;2008-11-13;6136.36;TOTAL;EUR;2061.17;2009-09-30;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
XY;50;2024-10-31;ab36deb58xy36deb58d1z;SYS;708;8652.03;2013-09-30;2011-12-09;2011-12-09;2012-03-22;13900.0;;EUR;24694.56;2013-09-30;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2025-04-30;ac2914a5dxy2914a5d37z;SYS;2287;0.04;2012-11-05;2012-11-05;;;0.0;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
XY;50;2024-10-31;a9343eae4xy343eae49cz;SYS;708;14.57;2016-05-19;2016-05-19;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a89263895xy926389584z;SYS;708;6815.75;2015-08-31;2015-08-01;2015-06-01;2015-08-31;16425.0;;EUR;16425.0;2015-08-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a37c8dc96xy7c8dc966dz;SYS;708;0.0;2017-12-18;2017-07-24;;2017-10-06;25018.12;;EUR;37099.74;2017-12-18;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;ac1e49c47xy1e49c4718z;SYS;708;-6981.96;2013-10-31;2011-02-18;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a4af13948xyaf1394828z;SYS;708;360.76;2016-10-23;2016-05-13;;2016-08-08;29937.08;;EUR;30106.0;2016-10-23;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a4a064f9bxya064f9bcfz;SYS;708;19116.57;2018-02-15;2017-06-23;2017-06-22;2018-02-15;88745.27;;EUR;86555.76;2018-02-15;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a57acd258xy7acd258a0z;SYS;708;-76245.04;2014-05-31;2013-01-10;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;ad976e25exy976e25e03z;SYS;708;37.39;2019-04-24;2019-04-24;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a8a7019c3xya7019c306z;SYS;708;-300.0;2017-09-14;2016-12-20;;;;;EUR;0.0;2017-09-14;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a6cb5db95xycb5db9536z;SYS;708;43.25;2016-05-03;2016-05-03;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;aa1ca823bxy1ca823b08z;SYS;708;10402.78;2017-04-12;2016-07-15;2017-03-06;2017-04-12;21965.0;;EUR;21965.0;2017-04-12;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a3ff11b1fxyff11b1fb1z;SYS;708;253.6;2019-07-24;2019-07-24;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a3bce4359xybce4359d9z;SYS;708;73.01;2016-12-06;2016-12-06;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;afbce8833xybce883392z;SYS;709;0.08;2021-11-30;2021-11-30;;;;;EUR;0.0;;0.0;;0.0;2025-04-23 12:59:44.166421;2025-04-23 12:59:44.166421;INVALID
XY;50;2025-04-30;abe88999exye88999ee7z;SYS;2287;0.03;2009-09-15;2009-09-15;;;0.0;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
XY;50;2024-10-31;a887635ccxy87635ccb2z;SYS;708;20135.77;2009-09-30;2009-07-22;2009-07-22;2009-09-23;21575.0;;EUR;21575.0;2009-09-23;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a789bde2bxy89bde2bedz;SYS;709;9551.8;2017-04-20;2016-12-16;2016-12-16;2017-04-20;13800.0;;EUR;13800.0;2017-04-20;0.0;;0.0;2025-04-23 12:59:44.166421;2025-04-23 12:59:44.166421;INVALID
XY;50;2024-10-31;a6d7cdc48xyd7cdc486az;SYS;3250;4714.1;2018-05-31;2018-05-31;;;0.0;EARLY_SETTLEMENT;EUR;0.0;;;;0.0;2025-05-19 13:38:34.126295;2025-05-19 13:38:34.126295;INVALID
XY;50;2024-10-31;a352aa73exy52aa73eafz;SYS;708;75.0;2019-08-13;2018-12-07;;;;;EUR;7772.24;2019-07-30;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2025-04-30;af9799a4cxy9799a4c10z;SYS;2287;60249.54;2010-08-04;2010-08-04;2010-05-25;2010-08-03;114545.45;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
XY;50;2024-10-31;a7442aaa9xy442aaa98ez;SYS;708;314.67;2018-03-31;2017-12-29;2018-01-15;2018-03-30;10000.0;;EUR;10000.0;2018-03-31;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;af92272d5xy92272d531z;SYS;3279;16.15;2018-09-11;2018-09-11;;;;;EUR;0.0;;0.0;;0.0;2025-04-23 12:59:44.166421;2025-04-23 12:59:44.166421;INVALID
XY;50;2024-10-31;ab990396cxy990396cfez;SYS;708;8.22;2017-04-24;2017-04-24;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2024-10-31;a5680f77bxy680f77b36z;SYS;708;0.05;2016-05-17;2016-05-17;;;;;EUR;;;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
XY;50;2025-04-30;a1e92bd5fxye92bd5f44z;SYS;2287;6966.61;2009-03-30;2009-03-30;2008-12-12;2009-02-06;4454.55;TOTAL;EUR;0.0;;;;0.0;2025-05-15 07:35:24.446421;2025-05-15 07:35:24.446421;INVALID
XY;50;2024-10-31;a9e6ea389xye6ea389c7z;SYS;708;13691.19;2010-02-10;2010-02-10;2010-01-04;2010-02-10;33415.0;;EUR;33415.0;2010-02-10;;;0.0;2025-04-24 15:59:53.917368;2025-04-24 15:59:53.917368;INVALID
