wos_analysis_entity;wos_delivering_entity;wos_reporting_date;wos_cms_contract_number;wos_source_system;wos_bevis_id;wos_net_rv_loss_amount;wos_loss_date;wos_write_off_date;wos_reposession_date;wos_remarketing_date;wos_remarketing_proceeds;wos_portfolio;wos_currency;wos_recovery_amount;wos_last_recovery_date;wos_net_loss_amount;wos_abs_code;wos_cal_periodnetcreditloss_amount;wos_drv_alm_flag;wos_drv_risk_flag;MGT_InsertTime;MGT_UpdateTime
XY;50;2024-10-31;a1ae490f1xyae490f12bz;SYS;708;;2019-10-06;2018-11-27;;;;;EUR;338.42;2019-10-06;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a071959a9xy71959a980z;SYS;708;;2024-09-18;2024-02-07;;;;;EUR;0.0;;1458.29;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ac215e82cxy215e82cb6z;SYS;708;;2018-10-22;2018-08-23;;;;;EUR;;;0.28;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ad51a570fxy51a570fd9z;SYS;708;;2024-05-14;2024-05-14;;;;;EUR;1005.43;2024-10-17;0.0;;-1005.43;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;aa04ea8e1xy04ea8e1fdz;SYS;8204;;2019-03-29;2018-03-22;;;;;EUR;-0.01;2019-03-29;97430.85;;97430.85;N;N;2025-04-30 08:18:15.017003;2025-04-30 08:18:15.017003
XY;50;2024-10-31;a4e250125xye2501259cz;SYS;708;;2017-04-06;2016-04-11;;2016-04-19;24303.0;;EUR;25382.31;2017-04-06;415.87;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;afa5d3f3cxya5d3f3c7cz;SYS;708;;2016-05-31;2015-04-30;;2015-06-15;24750.0;;EUR;24750.0;2015-06-15;6.16;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a2016e6d5xy016e6d533z;SYS;708;;2018-09-26;2018-09-11;;;;;EUR;1142.31;2018-09-26;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;ab25fb869xy25fb869dez;SYS;709;0.0;2007-07-31;2007-07-31;;;;;EUR;0.0;;-121.5;;0.0;N;N;2025-04-23 13:47:00.001639;2025-04-23 13:47:00.001639
XY;50;2024-10-31;ae10f7647xy10f76473az;SYS;708;;2018-04-24;2018-01-23;2018-01-23;2018-04-13;15123.65;;EUR;15707.65;2018-04-24;16829.11;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;adbd6b531xybd6b53142z;SYS;708;;2024-05-22;2022-07-22;2022-09-19;2022-12-16;20026.66;;EUR;20026.66;2022-12-18;13853.24;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a63e7fe31xy3e7fe31b8z;SYS;708;;2016-03-31;2014-10-03;;2014-10-20;21795.0;;EUR;25014.07;2015-09-30;1307.88;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;af1337a21xy1337a2199z;SYS;708;;2023-07-05;2023-05-19;;;;;EUR;;;417.67;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a0157d6aaxy157d6aaabz;SYS;3279;0.0;2024-08-30;2024-08-30;;;;;EUR;0.0;;0.11;;0.0;N;N;2025-04-23 13:47:00.001639;2025-04-23 13:47:00.001639
XY;50;2024-10-31;ac68b6ff2xy68b6ff25cz;SYS;708;;2020-09-10;2019-11-05;;;;;EUR;907.95;2020-09-10;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a23e93e29xy3e93e297az;SYS;708;;2010-12-13;2010-02-02;;2010-02-19;48300.0;;EUR;48300.0;2010-02-19;48875.05;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a9b5a4d41xyb5a4d4185z;SYS;708;;2010-01-20;2009-11-17;;2010-01-20;25392.0;;EUR;25392.0;2010-01-20;3753.29;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2025-04-30;a9c955f18xyc955f1817z;SYS;2287;;2022-03-01;2022-03-01;;;0.0;TOTAL;EUR;0.0;;6.95;;0.0;N;N;2025-05-15 08:36:24.621918;2025-05-15 08:36:24.621918
XY;50;2024-10-31;a8f387de5xyf387de5f6z;SYS;708;;2022-07-26;2022-03-24;;;;;EUR;;;583.06;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;af1c5c947xy1c5c947ddz;SYS;708;;2014-03-11;2014-03-11;2014-01-03;2014-03-11;20786.3;;EUR;20786.3;2014-03-11;16388.85;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a97a2b585xy7a2b58539z;SYS;708;;2020-07-01;2020-05-20;2020-05-20;2020-06-22;18900.0;;EUR;19430.7;2020-07-01;9549.09;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a97676546xy7676546b5z;SYS;708;;2021-02-16;2020-07-31;;;;;EUR;13493.25;2021-02-16;5607.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;add4aa169xyd4aa16950z;SYS;708;;2021-10-12;2021-03-11;2021-06-23;2021-10-12;22788.0;;EUR;23419.56;2021-10-12;14880.38;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a5116e511xy116e51181z;SYS;708;;2016-11-06;2016-06-30;;;;;EUR;-5.01;2016-11-06;0.01;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a39d93fb1xy9d93fb1b3z;SYS;708;;2018-06-30;2017-11-22;2017-11-21;2018-06-29;18612.0;;EUR;18763.7;2018-06-30;16528.31;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;abc9ee8fbxyc9ee8fb33z;SYS;708;;2024-06-11;2024-06-10;;;;;EUR;;;30.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a1f7f578bxyf7f578bc3z;SYS;708;;2024-05-02;2024-04-04;2024-03-04;2024-05-14;72500.0;;EUR;79912.25;2024-05-02;43417.32;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;aebb9a41fxybb9a41f7bz;SYS;708;;2016-06-06;2014-07-28;;2014-09-08;27813.0;;EUR;28280.12;2015-10-05;510.57;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;aee4becfcxye4becfc2bz;SYS;708;;2019-08-11;2019-06-10;;;;;EUR;;;1598.07;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;aac67d5bcxyc67d5bc9az;SYS;708;;2016-09-26;2016-06-27;;;;;EUR;544.81;2016-09-26;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a957cb8f6xy57cb8f63az;SYS;708;;2023-07-26;2023-05-26;2023-05-17;;;;EUR;0.0;2023-07-26;0.0;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a66ee113bxy6ee113b72z;SYS;708;;2024-03-05;2023-11-10;;;;;EUR;;;245.19;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a4129cd24xy129cd240ez;SYS;708;;2019-08-06;2017-12-29;;;;;EUR;618.85;2018-10-30;26.57;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
XY;50;2024-10-31;a079b8dcdxy79b8dcd5az;SYS;708;;2021-07-22;2020-11-13;2020-11-09;2020-12-18;35583.0;;EUR;37179.91;2021-07-22;-76.86;;0.0;N;N;2025-04-24 17:16:36.457149;2025-04-24 17:16:36.457149
